Link Name,Template [listid],Opacity,Delay,User Control,Source,Campaign,Display Count,Signup Count,Conversion Rate,Linkid,URL,Preview Link,Active
Slow Cooker Beef,CrockpotEasy1,50,1,N,Google,crockpot,576,98,17.01%,F078CA8E-3DE1-EC9F-A5B2-7F9FB3CB95EE,http://www.recipe4living.com/articles/search?searchterm_extra=beef&searchterm=slow+cooker,http://www.recipe4living.com/articles/search?searchterm_extra=beef&searchterm=slow+cooker&cid=F078CA8E-3DE1-EC9F-A5B2-7F9FB3CB95EE,Y
Slow Cooker Pork Recipes,CrockpotEasy1,50,1,N,Google,crockpot,1744,288,16.51%,5B3EA8BD-B665-EE75-7DB0-67E54F8DBEBD,http://www.recipe4living.com/recipes/search?searchterm_extra=pork&searchterm=slow+cooker,http://www.recipe4living.com/recipes/search?searchterm_extra=pork&searchterm=slow+cooker&cid=5B3EA8BD-B665-EE75-7DB0-67E54F8DBEBD,Y
Crock Pot Pork,CrockpotEasy1,50,1,N,Google,crockpot,0,0,0.00%,4CD35DC7-3524-CF32-EB60-10D46A7F5B48,http://www.recipe4living.com/articles/our_10_best_crockpot_pork_recipes.htm,http://www.recipe4living.com/articles/our_10_best_crockpot_pork_recipes.htm?cid=4CD35DC7-3524-CF32-EB60-10D46A7F5B48,Y
Slow Cooker Ribs,CrockpotEasy1Small,50,1,N,Google,copycat,1279,117,9.15%,C5F25D83-8F0B-B24A-BF64-D1B70B7EE91D,http://www.recipe4living.com/recipes/slow_cooker_spare_ribs.htm,http://www.recipe4living.com/recipes/slow_cooker_spare_ribs.htm?cid=C5F25D83-8F0B-B24A-BF64-D1B70B7EE91D,Y
Slow Cooker Spaghetti,CrockpotEasy1Small,50,1,N,Google,crockpot,1121,111,9.90%,258DEB53-93B0-C5B2-8C2F-25E9B639B926,http://www.recipe4living.com/recipes/slow_cooker_spaghetti_bolognese.htm,http://www.recipe4living.com/recipes/slow_cooker_spaghetti_bolognese.htm?cid=258DEB53-93B0-C5B2-8C2F-25E9B639B926,Y
Slow Cooker Beans,CrockpotEasy1Small,50,1,N,Google,copycat,1946,237,12.18%,966EA6D9-BDE8-84D8-64C3-EE03319F1160,http://www.recipe4living.com/recipes/search?searchterm_extra=bean&searchterm=slow+cooker,http://www.recipe4living.com/recipes/search?searchterm_extra=bean&searchterm=slow+cooker&cid=966EA6D9-BDE8-84D8-64C3-EE03319F1160,Y
Slow Cooker Roast,CrockpotEasy1Small,50,1,N,Google,crockpot,2676,356,13.30%,9D69AD4F-841A-FCA3-3136-91ADCE9D2F2A,http://www.recipe4living.com/recipes/search?searchterm_extra=roast&searchterm=slow+cooker,http://www.recipe4living.com/recipes/search?searchterm_extra=roast&searchterm=slow+cooker&cid=9D69AD4F-841A-FCA3-3136-91ADCE9D2F2A,Y
Slow Cooker Chicken,CrockpotEasy1Small,50,1,N,Google,crockpot,1985,312,15.72%,D78AEF29-3BC2-53B4-6AB7-0029B667BD9E,http://www.recipe4living.com/recipes/search?searchterm_extra=chicken&searchterm=slow+cooker,http://www.recipe4living.com/recipes/search?searchterm_extra=chicken&searchterm=slow+cooker&cid=D78AEF29-3BC2-53B4-6AB7-0029B667BD9E,Y
Slow Cooker Meatballs,CrockpotEasy1Small,50,1,N,Google,crockpot,1113,171,15.36%,531821C7-D515-4BAD-8B98-D1AFB54A6A2C,http://www.recipe4living.com/articles/5_slow_cooker_meatball_recipes.htm,http://www.recipe4living.com/articles/5_slow_cooker_meatball_recipes.htm?cid=531821C7-D515-4BAD-8B98-D1AFB54A6A2C,Y
Slow Cooker Pork,CrockpotEasy1Small,50,1,N,Google,crockpot,1736,127,7.32%,B9C8B884-9E73-C456-9FBD-A6C9E5508E4E,http://www.recipe4living.com/recipes/peachy_keen_pulled_pork.htm,http://www.recipe4living.com/recipes/peachy_keen_pulled_pork.htm?cid=B9C8B884-9E73-C456-9FBD-A6C9E5508E4E,Y
Diabetic 2 Small,HealthyMouthWateringSmall,50,1,N,Google,healthy,10,0,0.00%,04BED4B4-CDB8-F831-1C8D-75C27EA06CF6,http://www.recipe4living.com/diabetic,http://www.recipe4living.com/diabetic?cid=04BED4B4-CDB8-F831-1C8D-75C27EA06CF6,Y
Crock Pot Ham,CrockpotEasy1Small,50,1,N,Google,crockpot,768,78,10.16%,BC5AE5D6-02E2-B3E0-4552-D5DD860A5859,http://www.recipe4living.com/recipes/ham_in_maple_syrup.htm,http://www.recipe4living.com/recipes/ham_in_maple_syrup.htm?cid=BC5AE5D6-02E2-B3E0-4552-D5DD860A5859,Y
Edible Gifts,GeneralGetTastySmall,50,1,N,Google,Chirstmas,251,56,22.31%,AA2B0951-C6D0-1D13-B22E-00A2C025874C,http://www.recipe4living.com/articles/9_edible_christmas_gifts_to_make_for_your_friends.htm,http://www.recipe4living.com/articles/9_edible_christmas_gifts_to_make_for_your_friends.htm?cid=AA2B0951-C6D0-1D13-B22E-00A2C025874C,Y
Peanut Butter Fudge,GeneralGetTastySmall,50,1,N,Google,Chirstmas,342,31,9.06%,B05111A5-9F51-812B-41FA-5024175193E6,http://www.recipe4living.com/recipes/good_peanut_butter_fudge_pie_recipe.htm,http://www.recipe4living.com/recipes/good_peanut_butter_fudge_pie_recipe.htm?cid=B05111A5-9F51-812B-41FA-5024175193E6,Y
